country,raw_variable,valid_from,valid_to,concept_id,concept_label,unit_code,scale_factor,mapping_status,break_type,evidence_note,map_version
Austria,Consumer Prices,2005-01-01,2026-06-01,CPI,Consumer Prices,,1,confirmed,,,0.1
Austria,Current Account,2005-01-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
Austria,Gross Domestic Product,2005-01-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
Austria,Indust / Manuf Production,2005-01-01,2026-06-01,IP,Indust / Manuf Production,,1,needs_review,,label covers industrial or manufacturing production depending on country,0.1
Belgium,Consumer Prices,2005-01-01,2026-06-01,CPI,Consumer Prices,,1,confirmed,,,0.1
Belgium,Current Account,2005-01-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
Belgium,Gross Domestic Product,2005-01-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
Belgium,Indust / Manuf Production,2005-01-01,2026-06-01,IP,Indust / Manuf Production,,1,needs_review,,label covers industrial or manufacturing production depending on country,0.1
Canada,10 Year Govt Bond Yield,1990-01-01,2026-06-01,GOV_BOND_10Y,10 Year Govt Bond Yield,,1,confirmed,,,0.1
Canada,Budget Balance (Fiscal Years),1993-05-01,2026-06-01,GOV_BUDGET_BALANCE,Budget Balance (Fiscal Years),,1,confirmed,,fiscal-year basis,0.1
Canada,Business Investment,1990-01-01,1993-07-01,INVESTMENT_BUSINESS,Business Investment,,1,confirmed,,,0.1
Canada,Consumer Prices,1990-01-01,2026-06-01,CPI,Consumer Prices,,1,confirmed,,,0.1
Canada,Corporate Profits,1990-01-01,2026-06-01,CORP_PROFITS,Corporate Profits,,1,confirmed,,,0.1
Canada,Current Account,1990-01-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
Canada,Gross Domestic Product,1990-01-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
Canada,Housing Starts,1990-01-01,2026-06-01,HOUSING_STARTS,Housing Starts,,1,confirmed,,,0.1
Canada,Industrial Production,1990-01-01,2026-06-01,IP,Industrial Production,,1,confirmed,,,0.1
Canada,Investment ,2005-01-01,2005-01-01,GFCF,Investment,,1,needs_review,,bare label; verify which investment aggregate,0.1
Canada,Machinery & Equip. Investment,1993-08-01,2026-06-01,INVESTMENT_MACH_EQUIP,Machinery & Equip. Investment,,1,confirmed,,,0.1
Canada,Manufacturing Production,1993-05-01,1995-09-01,MFG_PROD,Manufacturing Production,,1,confirmed,,,0.1
Canada,Monetary Policy Evaluation Prob. of Rate Change at/before,2019-09-01,2026-06-01,POLICY_RATE_PROB,Monetary Policy Evaluation Prob. of Rate Change at/before,,1,confirmed,,,0.1
Canada,Money Policy Evaluation Prob. of Rate Change in the,2003-11-01,2019-08-01,POLICY_RATE_PROB,Money Policy Evaluation Prob. of Rate Change in the,,1,confirmed,,,0.1
Canada,Personal Expenditure,1990-01-01,2026-06-01,CONSUMPTION_PRIVATE,Personal Expenditure,,1,confirmed,,,0.1
Canada,Producer Prices,1990-01-01,2026-06-01,PPI,Producer Prices,,1,confirmed,,,0.1
Canada,Three month Interest Rates,1990-01-01,2026-06-01,RATE_3M,Three month Interest Rates,,1,confirmed,,,0.1
Canada,Unemployment Rate,1990-01-01,2026-06-01,UNEMP_RATE,Unemployment Rate,,1,confirmed,,,0.1
Canada,Wages ,2004-08-01,2026-06-01,WAGES,Wages,,1,confirmed,,,0.1
Denmark,Consumer Prices,2005-01-01,2026-06-01,CPI,Consumer Prices,,1,confirmed,,,0.1
Denmark,Current Account,2005-01-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
Denmark,Gross Domestic Product,2005-01-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
Denmark,Indust / Manuf Production,2005-01-01,2026-06-01,IP,Indust / Manuf Production,,1,needs_review,,label covers industrial or manufacturing production depending on country,0.1
Denmark,Three month Interest Rates,2020-07-01,2026-06-01,RATE_3M,Three month Interest Rates,,1,confirmed,,,0.1
Egypt,Consumer Prices,2005-01-01,2026-06-01,CPI,Consumer Prices,,1,confirmed,,,0.1
Egypt,Current Account,2005-01-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
Egypt,Gross Domestic Product,2005-01-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
Egypt,Indust / Manuf Production,2005-02-01,2026-06-01,IP,Indust / Manuf Production,,1,needs_review,,label covers industrial or manufacturing production depending on country,0.1
Euro Zone,10 Year Ger. Govt Bond Yield,2002-12-01,2026-06-01,GOV_BOND_10Y,10 Year Ger. Govt Bond Yield,,1,confirmed,,Euro Zone referenced to German Bund,0.1
Euro Zone,3-month Int. Rates (Ger/Fra/It/Nld/Spa),2013-11-01,2026-06-01,RATE_3M,3-month Int. Rates (Ger/Fra/It/Nld/Spa),,1,confirmed,,euro legacy national rates,0.1
Euro Zone,Change in Inventories,2002-12-01,2007-10-01,INVENTORIES,Change in Inventories,,1,confirmed,,,0.1
Euro Zone,Consumer Prices,2002-12-01,2026-06-01,CPI,Consumer Prices,,1,confirmed,,,0.1
Euro Zone,Core HICP (ex food & energy),2018-06-01,2026-06-01,HICP_CORE,Core HICP (ex food & energy),,1,confirmed,,,0.1
Euro Zone,Corporate Profits,2005-01-01,2005-01-01,CORP_PROFITS,Corporate Profits,,1,confirmed,,,0.1
Euro Zone,Current Account,2002-12-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
Euro Zone,Exports,2002-12-01,2026-06-01,EXPORTS,Exports,,1,confirmed,,,0.1
Euro Zone,Gen. Gov Budget Balance,2002-12-01,2026-06-01,GOV_BUDGET_BALANCE,Gen. Gov Budget Balance,,1,confirmed,,general government,0.1
Euro Zone,Government Consumption,2002-12-01,2026-06-01,CONSUMPTION_GOVT,Government Consumption,,1,confirmed,,,0.1
Euro Zone,Gross Domestic Product,2002-12-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
Euro Zone,Gross Fixed Investment,2002-12-01,2026-06-01,GFCF,Gross Fixed Investment,,1,confirmed,,,0.1
Euro Zone,Imports,2002-12-01,2026-06-01,IMPORTS,Imports,,1,confirmed,,,0.1
Euro Zone,Industrial Production,2002-12-01,2026-06-01,IP,Industrial Production,,1,confirmed,,,0.1
Euro Zone,Investment ,2005-01-01,2005-01-01,GFCF,Investment,,1,needs_review,,bare label; verify which investment aggregate,0.1
Euro Zone,Monetary Policy Evaluation Prob. of Rate Change at/before,2019-09-01,2026-06-01,POLICY_RATE_PROB,Monetary Policy Evaluation Prob. of Rate Change at/before,,1,confirmed,,,0.1
Euro Zone,Money Policy Evaluation Prob. of Rate Change in the,2002-12-01,2019-08-01,POLICY_RATE_PROB,Money Policy Evaluation Prob. of Rate Change in the,,1,confirmed,,,0.1
Euro Zone,Money Supply M3,2002-12-01,2026-06-01,MONEY_M3,Money Supply M3,,1,confirmed,,,0.1
Euro Zone,Private Consumption,2002-12-01,2026-06-01,CONSUMPTION_PRIVATE,Private Consumption,,1,confirmed,,,0.1
Euro Zone,Producer Prices,2002-12-01,2026-06-01,PPI,Producer Prices,,1,confirmed,,,0.1
Euro Zone,Three month Interest Rates,2002-12-01,2013-10-01,RATE_3M,Three month Interest Rates,,1,confirmed,,,0.1
Euro Zone,Unemployment Rate,2002-12-01,2026-06-01,UNEMP_RATE,Unemployment Rate,,1,confirmed,,,0.1
